domain,url,logo_url,filepath,success,error
greatplacetowork.com.bo,https://greatplacetowork.com.bo,,,False,"HTTPSConnectionPool(host='greatplacetowork.com.bo', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)')))"
mazda-autohaus-hellwig-hoyerswerda.de,https://mazda-autohaus-hellwig-hoyerswerda.de,//www.assets.mazda-autohaus.de/assets/img/favicons/apple-icon.png,extracted_logos\mazda-autohaus-hellwig-hoyerswerda.de_6367705940.png,True,
wurth-international.com,https://wurth-international.com,inline_svg,extracted_logos\wurth-international.com_svg.svg,True,
plameco-hannover.de,https://plameco-hannover.de,//www.plameco-hannover.de/domains/plameco-hannover.de/media/DE_Plameco_Logo.png,extracted_logos\plameco-hannover.de_51c6719613.png,True,
zalando.cz,https://zalando.cz,,,False,HTTP 403
ovb.ro,https://ovb.ro,https://ovb.ro/favicon.ico,extracted_logos\ovb.ro_ee882362f0.ico,True,
ymcasteuben.org,https://ymcasteuben.org,,,False,"HTTPSConnectionPool(host='ymcasteuben.org', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1018)')))"
toyota-buchreiter-eisenstadt.at,https://toyota-buchreiter-eisenstadt.at,/images/45c48cce2e2d7fbdea1afc51c7c6ad26/buchreiterlogofertig.jpg,extracted_logos\toyota-buchreiter-eisenstadt.at_9ab9944185.jpg,True,
autosecuritas-ct-seysses.fr,https://autosecuritas-ct-seysses.fr,/public/img/common/CAPITAL_LOGO2025_Vertical_fondblanc.png,extracted_logos\autosecuritas-ct-seysses.fr_c190f2562c.png,True,
tupperware.at,https://tupperware.at,,,False,"HTTPSConnectionPool(host='www.tupperware.at', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.tupperware.at'. (_ssl.c:1018)"")))"
kia-moeller-wunstorf.de,https://kia-moeller-wunstorf.de,/etc.clientlibs/settings/wcm/designs/eut/clientlib/resources/rbr/logo_kia_white-rbr.png,extracted_logos\kia-moeller-wunstorf.de_1c8b92c0f2.png,True,
freseniusmedicalcare.ca,https://freseniusmedicalcare.ca,/assets/images/logo.png,extracted_logos\freseniusmedicalcare.ca_d1e337903e.png,True,
synlab.com.tr,https://synlab.com.tr,/images/footer-logo.png,extracted_logos\synlab.com.tr_5e56b191e8.png,True,
ibc-solar.jp,https://ibc-solar.jp,/config/Resources/favicons/apple-touch-icon.png,extracted_logos\ibc-solar.jp_b0674d32da.png,True,
lidl.com.cy,https://lidl.com.cy,,,False,No valid logos found
crocs.com.uy,https://crocs.com.uy,//f.fcdn.app/imgs/b4e7b8/www.crocs.com.uy/crocuy/6cfe/webp/catalogo/CR10001_2610_1/800x800/crocs-classic-verde.jpg,extracted_logos\crocs.com.uy_f585dd2a72.jpg,True,
cafelasmargaritas.es,https://cafelasmargaritas.es,https://cafelasmargaritas.es/wp-content/plugins/gdpr-cookie-compliance/dist/images/gdpr-logo.png,extracted_logos\cafelasmargaritas.es_5815bca375.png,True,
ebay.cn,https://ebay.cn,https://www.ebay.cn/newcms/style/index/logo.png,extracted_logos\ebay.cn_2cb81dbc20.png,True,
ccusa.co.nz,https://ccusa.co.nz,https://ccusa.co.nz/wp-content/uploads/2023/02/Logo_CCUSA_150-120.jpg,extracted_logos\ccusa.co.nz_b0bfdcd314.jpg,True,
nobleprog.mx,https://nobleprog.mx,/sites/hitrahr/files/client_logos//ebay.png,extracted_logos\nobleprog.mx_4ee070800e.png,True,
affidea.ba,https://affidea.ba,https://affidea.ba/wp-content/themes/affidea/assets/img/favicon.png,extracted_logos\affidea.ba_32d40b2607.png,True,
bakertilly.lu,https://bakertilly.lu,/apple-touch-icon.png,extracted_logos\bakertilly.lu_ff273ec96a.png,True,
astrazeneca.ua,https://astrazeneca.ua,,,False,No valid logos found
deheus.com.vn,https://deheus.com.vn,/siteassets/icons/dhgenetics-logo_revised-version-1-1.png?width=36,extracted_logos\deheus.com.vn_2e59fb2744.png,True,
engie.co.uk,https://engie.co.uk,inline_svg,extracted_logos\engie.co.uk_svg.svg,True,
julis-sh.de,https://julis-sh.de,https://julis-sh.de/wp-content/uploads/2022/06/Logo-Junge-Liberale-768x588.png,extracted_logos\julis-sh.de_1ef73e9bf1.png,True,
veolia.com.ru,https://veolia.com.ru,/sites/g/files/dvc2936/files/styles/logo_mobile_base/public/themes/custom/veo_site/src/assets/images/logo.png?itok=QnV2LDHS,extracted_logos\veolia.com.ru_d2b6f0c09a.png,True,
spitex-wasseramt.ch,https://spitex-wasseramt.ch,/img/spitex2014/default/favicon.ico,extracted_logos\spitex-wasseramt.ch_77c1af7a7d.ico,True,
baywa-re.es,https://baywa-re.es,/typo3conf/ext/gg_base/Resources/Public/country/dist/img/logo.png,extracted_logos\baywa-re.es_394da37e5e.png,True,
renault-tortosa.es,https://renault-tortosa.es,,,False,No valid logos found
aamcoanaheim.net,https://aamcoanaheim.net,/images/logo.png,extracted_logos\aamcoanaheim.net_13daf57037.png,True,
pirtek.be,https://pirtek.be,https://www.pirtek.be/wp-content/uploads/2021/12/logos-scaled-BE_1536x111.jpg,extracted_logos\pirtek.be_6abaa6e87f.jpg,True,
oil-testing.de,https://oil-testing.de,https://oil-testing.de/wp-content/uploads/2018/12/Logo-BV_update.png,extracted_logos\oil-testing.de_b13c07f287.png,True,
europa-union-sachsen-anhalt.de,https://europa-union-sachsen-anhalt.de,/fileadmin/_processed_/c/7/csm_EUD-LOGO_RGB_white_NEU_Final_ea90b230af.png,extracted_logos\europa-union-sachsen-anhalt.de_a2653d8008.png,True,
avis.cr,https://avis.cr,https://avis.cr/favicon.ico,extracted_logos\avis.cr_db70faf1a7.ico,True,
aamcoseguin.com,https://aamcoseguin.com,https://www.aamcoseguin.com/wp-content/uploads/2018/09/logo.png,extracted_logos\aamcoseguin.com_03cce7cae7.png,True,
wurthsaudi.com,https://wurthsaudi.com,assets/img/logomob.png,extracted_logos\wurthsaudi.com_04ac5fe754.png,True,
xella-colloquium.berlin,https://xella-colloquium.berlin,,,False,"HTTPSConnectionPool(host='xella-colloquium.berlin', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000017979820E10>: Failed to resolve 'xella-colloquium.berlin' ([Errno 11001] getaddrinfo failed)""))"
unicharm.com.br,https://unicharm.com.br,,,False,"HTTPSConnectionPool(host='unicharm.com.br', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000001797955FB10>: Failed to resolve 'unicharm.com.br' ([Errno 11001] getaddrinfo failed)""))"
aamcoconyersga.com,https://aamcoconyersga.com,/images/logo.png,extracted_logos\aamcoconyersga.com_13daf57037.png,True,
mazda-autohaus-kaschmieder-waren.de,https://mazda-autohaus-kaschmieder-waren.de,//www.assets.mazda-autohaus.de/assets/img/favicons/apple-icon.png,extracted_logos\mazda-autohaus-kaschmieder-waren.de_6367705940.png,True,
menschenfuermenschen.at,https://menschenfuermenschen.at,/content/img/icons/pp-logo.png,extracted_logos\menschenfuermenschen.at_b99d312a05.png,True,
bakertilly.es,https://bakertilly.es,/apple-touch-icon.png,extracted_logos\bakertilly.es_ff273ec96a.png,True,
bmw-motorrad-euromotos-lyon.fr,https://bmw-motorrad-euromotos-lyon.fr,https://bmw-motorrad-euromotos-lyon.fr/img/bmw-motorrad-6eme-avenue-bourgoin-concessionnaire-logo-1431434954.jpg,extracted_logos\bmw-motorrad-euromotos-lyon.fr_6b07067972.jpg,True,
allianz.nl,https://allianz.nl,/content/dam/onemarketing/system/favicon/AZ_Logo_eagle.png/_jcr_content/renditions/cq5dam.web.180.180.png,extracted_logos\allianz.nl_06aff3c7d5.png,True,
rsmpoland.pl,https://rsmpoland.pl,/themes/custom/rsm_poland/logo%402x.webp,extracted_logos\rsmpoland.pl_33306434e7.webp,True,
trinkgutlippstadt.de,https://trinkgutlippstadt.de,https://trinkgutlippstadt.de/wp-content/uploads/revslider/export2/logo2-1.png,extracted_logos\trinkgutlippstadt.de_4fdb3d4fdd.png,True,
